,X,Y,Z,"relatedness(Y,Z)","relatedness(X,Z)",surprisal(Z),ambiguity(Z),"dissimilarity(x,y)",Score
2994,boys,stick,big,1.0242083695834613e-05,1.9459959022085762e-05,0.008930116211806729,0.9413393089151564,0.3373433829675468,6.004260805499199e-13
726,boys,hole,black,2.333008115247165e-05,4.911596032099294e-06,0.010706103527042437,0.8720607963845477,0.489280437160531,6.002444867222018e-13
3091,boys,believer,big,8.923973309427384e-06,1.8839499208791147e-05,0.008645389084108853,0.9113257199248863,0.411595297612118,5.982498035586877e-13
3015,boys,dreams,big,1.0269801051419978e-05,1.9512621997697958e-05,0.008954283091692893,0.9438867823713921,0.33014778871390726,5.924024898658331e-13
2778,boys,lead,big,8.837442043814002e-06,1.3992616569372168e-05,0.0064211693318536505,0.6768667907459849,0.7360775203032281,5.844712992027451e-13
3299,boys,student,young,8.529551041820005e-06,2.985342864637002e-05,0.007436951727798084,0.9519298211581547,0.3062259074193779,5.799055723855041e-13
3323,boys,player,young,9.497855008713248e-06,3.0220447754996697e-05,0.0075283818756169,0.9636328800789632,0.2671235573542185,5.772185245325077e-13
158,boys,group,small,0.00011075946096884845,2.373417020761038e-06,0.006897974554108879,0.9508592616125471,0.3095465559159097,5.61309574638561e-13
3313,boys,voters,young,2.8579388659979836e-05,3.125870634685295e-05,0.007787028181207847,0.9967396071946044,0.08030887776430957,5.586750013722613e-13
2887,boys,challenges,big,7.53162292458988e-06,1.590009284080086e-05,0.0072965044112230145,0.769137406171273,0.6390417913892369,5.583831943184166e-13
3079,boys,bang,big,9.153998600125403e-06,1.9325108155820297e-05,0.008868233558012511,0.9348161491740247,0.355021296853798,5.569603813993764e-13
2819,boys,loss,big,9.03242426430154e-06,1.320123546320994e-05,0.0060580069409238374,0.6385852022432658,0.7695272833187747,5.558693074285107e-13
2943,boys,fan,big,5.2145576047445546e-05,2.0640957185447195e-05,0.009472072689350098,0.9984678976067868,0.05451728297008785,5.558102198169828e-13
655,boys,money,black,2.184801763373102e-05,4.161527168329718e-06,0.009071132968501634,0.7388850127070423,0.6737704743077776,5.556972921901243e-13
2949,boys,rally,big,7.537836335199453e-06,1.7902361296098703e-05,0.008215339336453397,0.8659934171132052,0.4999879091926799,5.542963646071611e-13
2929,boys,push,big,7.681785578782667e-06,1.8244240749608837e-05,0.008372226781427433,0.8825311995481153,0.47017931393354906,5.516866524555539e-13
2885,boys,ideas,big,7.684999211352981e-06,1.8251873126963334e-05,0.00837572925626156,0.8829004016012187,0.46948559894808506,5.515643322861265e-13
3363,boys,male,young,6.513284999037018e-06,2.849562187078696e-05,0.0070987010174591155,0.9086337302347668,0.4175336535766842,5.501087992336064e-13
3283,boys,team,young,4.295045951357819e-05,3.131804339531743e-05,0.00780180995955323,0.9986316748228135,0.051709834426108006,5.426639236904322e-13
2816,boys,problems,big,1.1570356071011925e-05,1.9985160486293325e-05,0.009171129571838044,0.9667449525137515,0.25557794630656416,5.420016014931035e-13
3351,boys,female,young,1.3240173021586587e-05,3.0893737050368706e-05,0.0076961086733605705,0.985101910190153,0.1717992878951314,5.408248732156453e-13
2889,boys,guy,big,1.2708916983596781e-05,2.0122451890694902e-05,0.009234132181185616,0.9733861687461545,0.22898492686225802,5.407448886147827e-13
2932,boys,draw,big,1.0418295031508836e-05,1.979476055986679e-05,0.009083755622705945,0.957534710346415,0.2881748833004374,5.398442409654087e-13
3064,boys,tent,big,1.3840870107565884e-05,2.0228964003365523e-05,0.009283010266850349,0.9785384940115192,0.20585490243682064,5.350410201578753e-13
687,boys,Americans,black,1.9951799167930043e-05,4.694540980689421e-06,0.010232975477366825,0.833522366156425,0.5523909402857374,5.294484481265949e-13
3306,boys,child,young,1.778334514327294e-05,3.1120854000727645e-05,0.0077526870254283325,0.9923439392548266,0.12326151379625373,5.28864861189273e-13
673,boys,lives,black,2.3701148729524162e-05,5.266921939894258e-06,0.011480628941964898,0.93514941200005,0.35406746787239957,5.074321537746968e-13
2796,boys,increase,big,7.872971347695834e-06,1.3598768691474622e-05,0.006240433734445307,0.6578151324779995,0.7531535754564588,5.031952995964675e-13
